Hotel,URL,Room to be extracted
Le Recit Boutique Hotel de Dalat,https://www.agoda.com/le-recit-boutique-hotel-de-dalat/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&tspTypes=8&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Deluxe Twin
Mercure Dalat Resort,https://www.agoda.com/vi-vn/mercure-da-lat-resort/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1833981&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-02-3&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=151dce41-02b3-4537-868e-88ba4754821f&ds=WCvMDeNTDlHf9b9e,Deluxe Twin
Mơ Stay - Forest Resort,https://www.agoda.com/mo-stay-forest-resort-h36217950/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Deluxe Balcony Room
Mùa Dalat Wellness Hotel,https://www.agoda.com/mua-dalat-wellness-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Superior Double Room
Nexus House An Son Da Lat,https://www.agoda.com/nexus-house-an-son-da-l-t/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Standard Double with Balcony
Swiss-Belresort Tuyen Lam Dalat,https://www.agoda.com/swiss-belresort-tuyen-lam-dalat/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&tspTypes=9%2C-1&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Deluxe Mountain View King Room
Terracotta Hotel and Resort Dalat,https://www.agoda.com/terracotta-hotel-and-resort-dalat/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&tspTypes=9%2C8&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Superior Twin
The Mist Boutique  - Deluxe City View,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Deluxe City View
The Mist Boutique - Deluxe Mountain View,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Deluxe Mountain View
The Mist Boutique - Double Room,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Double Room
